定_;日本_;英_;;;;
TVPCurrentTransitionMustBeStopping;_在のトランジションを停止させてから新しいトランジションを_始してください。同じレイヤに_して_数のトランジションを同_に_行しようとするとこのエラ_が_生します;Current transition must be stopping;;;;
TVPTransHandlerError;トランジションハンドラでエラ_が_生しました : %1;Transition handler error %1;;;;
TVPTransAlreadyRegistered;トランジション %1 は既に登_されています;Transition %1 already registerd;;;;
TVPCannotFindTransHander;トランジションハンドラ %1 が_つかりません;Cannot find transition handler %1;;;;
TVPSpecifyTransitionSource;トランジション元を指定してください;Specify transition source;;;;
TVPLayerCannotHaveImage;このレイヤは画像を持つことはできません;This layer cannot have image;;;;
TVPTransitionSourceAndDestinationMustHaveImage;トランジション元とトランジション先はともに画像を持っている必要があります;Transition source and destination must have image;;;;
TVPCannotLoadRuleGraphic;ル_ル画像 %1 を_み_むことができません;Cannot load rule graphics %1;;;;
TVPSpecifyOption;オプション %1 を指定してください;Specify option %1;;;;
TVPTransitionLayerSizeMismatch;トランジション元(%1)とトランジション先(%2)のレイヤのサイズが一致しません;Transition layer size mismatch %1 and %2;;;;
TVPTransitionMutualSource;トランジション元のトランジション元が自分自身です;Transition mutual source;;;;
TVPHoldDestinationAlphaParameterIsNowDeprecated;警告 : メソッド %1 の %2 番目に渡された hda パラメ_タは、吉里吉里２ 2.23 beta 2 より__されるようになりました。代わりに Layer.holdAlpha プロパティを用いてください。;Warring : Method %1 %2th parameter had is ignore. Hold destination alpha parameter is now deprecated.;;;;
TVPCannotConnectMultipleWaveSoundBufferAtOnce;_数の WaveSoundBuffer を一つのフィルタで同_に使用することはできません;Cannot connect multiple wave sound buffer at once;;;;
TVPInvalidWindowSizeMustBeIn64to32768;window は 64_32768 の__の 2 の累_で_ければなりません;Invalid window size must be in 64 to 32768;;;;
TVPInvalidOverlapCountMustBeIn2to32;overlap は 2_32 の__の 2 の累_で_ければなりません;Invalid overlap count must be in 2 to 32;;;;
TVPCurrentlyAsyncLoadBitmap;Bitmap を非同期__み中のため、このメソッドは呼び出せません;Currently async load bitmap;;;;
TVPFaildClipboardCopy;クリップボ_ドへのコピ_に失_しました;copying to clipboard failed.;;;;
TVPInvalidUTF16ToUTF8;UTF-16では_生し得ないUTF-8への__です;Invalid UTF-16 to UTF-8;;;;
TVPInfoLoadingStartupScript;(info) 起_スクリプト__み中 : ;(info) Loading startup script : ;;;;
TVPInfoStartupScriptEnded;(info) 起_スクリプト_行_了。;(info) Startup script ended.;;;;
